lag_multiplier_inits,lag_multiplier_lrs,update_iterss,nn_sizes,Return,Cost,Regret,Evaluation Return,Evaluation Cost,Evaluation Regret,Return Curr,Cost Curr,Regret Curr,Evaluation Return Curr,Evaluation Cost Curr,Evaluation Regret Curr
0.001,0.01,1,64,11.648940404256185,32.8266658782959,5078.847265561421,7.580162285127345,1.5555555555555556,216.88888888888889,11.65639623006185,15.733333269755049,1788.3304514884949,12.219574288702866,17.77777777777778,241.0
0.001,0.01,1,256,9.673016548156738,21.246666590372723,6992.216118176778,9.793735867405708,10.0,448.1111111111111,11.74247964223226,20.326666514078777,1089.523461818695,8.55637327659675,45.111111111111114,245.11111111111111
0.001,0.01,10,64,11.77296257019043,14.733333269755045,4239.023315906525,11.702646991364443,8.777777777777779,163.88888888888889,10.450680414835611,22.47333351771037,1485.9170630772908,11.766398481445423,18.22222222222222,90.11111111111111
0.001,0.01,10,256,9.141984462738037,38.413333574930824,4882.676962693532,6.003606947974536,108.44444444444444,428.8888888888889,11.416385650634766,16.75333309173584,1473.9008320172627,5.214080504558644,28.0,147.33333333333334
0.001,0.01,50,64,3.018941561381022,76.63999938964844,7511.246397018433,1.083633134456387,60.333333333333336,225.44444444444446,8.391678174336752,63.72000058492025,3437.248513062795,8.267038614105862,28.11111111111111,504.0
0.001,0.01,50,256,4.14132163921992,45.88000170389811,7558.505528132121,2.4874648479307413,0.0,274.44444444444446,8.930886507034302,24.986666997273762,1857.1078147888184,9.385651240930295,26.333333333333332,192.2222222222222
0.001,0.035,1,64,5.128889878590901,21.166666984558105,7874.742596308391,6.047946358400761,11.11111111111111,228.0,8.421273708343506,27.58666737874349,2405.6864364941916,1.9991564399188582,50.44444444444444,414.1111111111111
0.001,0.035,1,256,8.017705599466959,15.899999936421713,3797.0957544644675,-3.9976940502268565,1.7777777777777777,146.0,4.887848357359569,42.63999875386556,4601.8891898791,-2.1863758810709917,0.0,284.55555555555554
0.001,0.035,10,64,6.067148685455322,53.29333241780599,5495.138197580974,3.2002097783059247,116.11111111111111,636.2222222222222,8.119067192077637,51.30666812260946,3361.234427134196,7.802934643253129,26.666666666666668,176.66666666666666
0.001,0.035,10,256,5.045148700475693,35.52666664123535,4564.681271235148,0.1286082090834542,8.222222222222221,112.55555555555556,5.219069798787435,49.81333223978678,2523.379191080729,3.6870996619722565,172.0,577.5555555555555
0.001,0.035,50,64,-1.5492866834004724,20.693333864212036,3679.1719535191855,-0.2917417939814426,2.5555555555555554,105.11111111111111,6.746979157129924,11.293333689371744,439.8649106025696,11.898287475228548,14.88888888888889,33.44444444444444
0.001,0.035,50,256,4.252268473307292,115.17333221435547,5631.506228129069,3.2820503787332385,302.22222222222223,520.4444444444445,8.724869728088379,55.240001360575356,2100.143398284912,-0.8976956261424094,5.888888888888889,143.88888888888889
0.001,0.05,1,64,8.451689799626669,22.360000292460125,5927.23123550415,5.574858705815321,78.33333333333333,344.1111111111111,11.03850523630778,14.940000216166178,712.4702634811401,4.558855235845638,98.22222222222223,250.66666666666666
