lag_multiplier_inits,lag_multiplier_lrs,update_iterss,nn_sizes,Return,Cost,Regret,Evaluation Return,Evaluation Cost,Evaluation Regret,Return Curr,Cost Curr,Regret Curr,Evaluation Return Curr,Evaluation Cost Curr,Evaluation Regret Curr
0.1,0.01,1,64,10.659606170654296,8.665999937057496,9011.38656949997,7.158972257064942,13.56,1084.2,11.858700275421143,9.011999940872192,4164.5471307754515,11.503168533118187,15.94,999.6799999999998
0.01,0.01,1,64,11.419647574424744,9.885999965667725,7448.0531917572025,11.127300792097888,14.9,899.26,12.455794429779052,9.39399995803833,4086.284111070633,12.237937390263887,16.64,884.98
0.001,0.01,1,64,12.460763454437256,10.376000022888183,9557.804233932495,12.236889194748137,17.12,1292.18,12.48445291519165,8.825999975204468,2948.550017166138,12.236905491658508,16.82,851.7199999999998
0.1,0.01,1,256,9.115916872024536,9.261999917030334,10470.424973869323,7.637686815165399,9.58,1350.6,8.857183164358139,7.618000054359436,8148.96267914772,9.55097883286436,12.84,1226.04
0.001,0.01,1,256,9.901284909248352,11.839999723434449,12048.055349731445,9.505394321845221,13.68,1668.38,11.157107305526733,12.179999899864196,7427.395565605164,10.442909178387163,11.9,1264.5000000000002
0.1,0.01,10,64,11.545246791839599,8.56999992132187,10646.280748319627,9.473978280047648,8.76,1179.02,9.279253244400024,12.509999909996987,13264.075807666779,6.968387498147718,9.56,1904.08
